Freq.	V(vout)
1.00000000000000e+00	(-4.81072976654123e+01dB,1.72729164090225e+02°)
1.00230523807790e+00	(-4.80674549232714e+01dB,1.72712446705943e+02°)
1.00461579027839e+00	(-4.80276129041184e+01dB,1.72695691085536e+02°)
1.00693166885180e+00	(-4.79877716112641e+01dB,1.72678897142936e+02°)
1.00925288607668e+00	(-4.79479310480340e+01dB,1.72662064791897e+02°)
1.01157945425990e+00	(-4.79080912177688e+01dB,1.72645193945983e+02°)
1.01391138573668e+00	(-4.78682521238246e+01dB,1.72628284518577e+02°)
1.01624869287070e+00	(-4.78284137695724e+01dB,1.72611336422874e+02°)
1.01859138805412e+00	(-4.77885761583987e+01dB,1.72594349571887e+02°)
1.02093948370768e+00	(-4.77487392937054e+01dB,1.72577323878440e+02°)
1.02329299228075e+00	(-4.77089031789098e+01dB,1.72560259255172e+02°)
1.02565192625141e+00	(-4.76690678174446e+01dB,1.72543155614536e+02°)
1.02801629812647e+00	(-4.76292332127582e+01dB,1.72526012868799e+02°)
1.03038612044162e+00	(-4.75893993683147e+01dB,1.72508830930039e+02°)
1.03276140576140e+00	(-4.75495662875938e+01dB,1.72491609710148e+02°)
1.03514216667934e+00	(-4.75097339740910e+01dB,1.72474349120830e+02°)
1.03752841581801e+00	(-4.74699024313178e+01dB,1.72457049073600e+02°)
1.03992016582906e+00	(-4.74300716628015e+01dB,1.72439709479787e+02°)
1.04231742939330e+00	(-4.73902416720855e+01dB,1.72422330250528e+02°)
1.04472021922080e+00	(-4.73504124627292e+01dB,1.72404911296773e+02°)
1.04712854805090e+00	(-4.73105840383081e+01dB,1.72387452529284e+02°)
1.04954242865232e+00	(-4.72707564024140e+01dB,1.72369953858629e+02°)
1.05196187382322e+00	(-4.72309295586550e+01dB,1.72352415195191e+02°)
1.05438689639126e+00	(-4.71911035106555e+01dB,1.72334836449160e+02°)
1.05681750921366e+00	(-4.71512782620565e+01dB,1.72317217530534e+02°)
1.05925372517729e+00	(-4.71114538165153e+01dB,1.72299558349123e+02°)
1.06169555719872e+00	(-4.70716301777058e+01dB,1.72281858814544e+02°)
1.06414301822431e+00	(-4.70318073493188e+01dB,1.72264118836222e+02°)
1.06659612123026e+00	(-4.69919853350615e+01dB,1.72246338323392e+02°)
1.06905487922266e+00	(-4.69521641386581e+01dB,1.72228517185094e+02°)
1.07151930523760e+00	(-4.69123437638497e+01dB,1.72210655330177e+02°)
1.07398941234124e+00	(-4.68725242143943e+01dB,1.72192752667297e+02°)
1.07646521362983e+00	(-4.68327054940669e+01dB,1.72174809104917e+02°)
1.07894672222983e+00	(-4.67928876066596e+01dB,1.72156824551304e+02°)
1.08143395129794e+00	(-4.67530705559818e+01dB,1.72138798914534e+02°)
1.08392691402120e+00	(-4.67132543458600e+01dB,1.72120732102488e+02°)
1.08642562361706e+00	(-4.66734389801382e+01dB,1.72102624022852e+02°)
1.08893009333343e+00	(-4.66336244626776e+01dB,1.72084474583115e+02°)
1.09144033644875e+00	(-4.65938107973571e+01dB,1.72066283690575e+02°)
1.09395636627209e+00	(-4.65539979880731e+01dB,1.72048051252332e+02°)
1.09647819614318e+00	(-4.65141860387396e+01dB,1.72029777175289e+02°)
1.09900583943252e+00	(-4.64743749532884e+01dB,1.72011461366154e+02°)
1.10153930954141e+00	(-4.64345647356690e+01dB,1.71993103731440e+02°)
1.10407861990207e+00	(-4.63947553898488e+01dB,1.71974704177460e+02°)
1.10662378397766e+00	(-4.63549469198133e+01dB,1.71956262610331e+02°)
