time	V(escalon)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999824516700e-15	1.000000e+00	5.315518e-06
1.000000000000000e-12	1.000000e+00	5.315940e-06
6.001771323425848e-10	1.000000e+00	5.331588e-06
1.199354264685170e-09	1.000000e+00	5.164537e-06
1.798531397027755e-09	1.000000e+00	4.814785e-06
2.397708529370339e-09	1.000000e+00	4.282334e-06
2.996885661712924e-09	1.000000e+00	3.567182e-06
3.596062794055509e-09	1.000000e+00	2.669331e-06
4.195239926398093e-09	1.000000e+00	1.588780e-06
7.961860340669363e-09	1.000000e+00	-6.801375e-06
1.209796199319844e-08	1.000000e+00	-1.520912e-05
1.615225112856279e-08	1.000000e+00	-1.451130e-05
2.002812942252918e-08	1.000000e+00	3.074191e-06
2.425001060751888e-08	1.000000e+00	5.134442e-05
2.910077668421893e-08	1.000000e+00	1.577487e-04
3.370313987822260e-08	1.000000e+00	3.213249e-04
3.793914800377022e-08	1.000000e+00	5.351388e-04
4.378014584873482e-08	1.000000e+00	9.421671e-04
5.048046960541827e-08	1.000000e+00	1.581055e-03
5.941355889666333e-08	1.000000e+00	2.726206e-03
7.012366825516472e-08	1.000000e+00	4.516337e-03
8.208666145510221e-08	1.000000e+00	6.962244e-03
9.692396132361714e-08	1.000000e+00	1.040821e-02
1.166042007662757e-07	1.000000e+00	1.510501e-02
1.453684238348731e-07	1.000000e+00	2.084784e-02
1.768630234250799e-07	1.000000e+00	2.429976e-02
2.145546498347704e-07	1.000000e+00	2.415116e-02
2.509386380196355e-07	1.000000e+00	2.074528e-02
2.774197746778071e-07	1.000000e+00	1.726075e-02
3.025868408149234e-07	1.000000e+00	1.386173e-02
3.317447637821802e-07	1.000000e+00	1.029691e-02
3.583708112599797e-07	1.000000e+00	7.596635e-03
3.853112036792110e-07	1.000000e+00	5.455086e-03
4.104948096660010e-07	1.000000e+00	3.944194e-03
4.370115619175151e-07	1.000000e+00	2.775575e-03
4.693731090239638e-07	1.000000e+00	1.792118e-03
5.077181280022608e-07	1.000000e+00	1.062168e-03
5.440018601044877e-07	1.000000e+00	6.517118e-04
5.781511751576183e-07	1.000000e+00	4.158811e-04
6.148543969934036e-07	1.000000e+00	2.603574e-04
6.489552402230098e-07	1.000000e+00	1.726314e-04
6.907099017729803e-07	1.000000e+00	1.089379e-04
7.371462454782636e-07	1.000000e+00	7.111533e-05
7.967538890905722e-07	1.000000e+00	4.821140e-05
