time	V(senoidal)	V(vout)
0.000000000000000e+00	-6.428333e-13	-1.527682e-02
6.748017418622965e-06	4.238634e-02	-1.937903e-02
2.024405225586889e-05	1.268544e-01	-2.749361e-02
4.723612193013871e-05	2.924552e-01	-4.301134e-02
1.012202612789004e-04	5.939708e-01	-6.962055e-02
1.839872104070217e-04	9.152088e-01	-9.382430e-02
2.392852086698927e-04	9.977347e-01	-9.641757e-02
2.610124261992475e-04	9.976071e-01	-9.418529e-02
2.829262177201919e-04	9.786763e-01	-9.010746e-02
3.184671105760373e-04	9.088859e-01	-7.983757e-02
3.751716006745731e-04	7.063439e-01	-5.550325e-02
4.441756750679371e-04	3.436065e-01	-1.690404e-02
5.071575518673654e-04	-4.495707e-02	2.145342e-02
5.719465487787900e-04	-4.368137e-01	5.748711e-02
6.365086496857852e-04	-7.563459e-01	8.418524e-02
7.062957239001300e-04	-9.625332e-01	9.773074e-02
7.484121172232072e-04	-9.999502e-01	9.705118e-02
7.644097968448893e-04	-9.959041e-01	9.497784e-02
7.884513745166633e-04	-9.709571e-01	9.004276e-02
8.273767402728893e-04	-8.841277e-01	7.774921e-02
8.891012632321615e-04	-6.417648e-01	4.931384e-02
9.556747085777140e-04	-2.749176e-01	1.069538e-02
1.018123542822158e-03	1.136276e-01	-2.739245e-02
1.081860658928901e-03	4.919653e-01	-6.193859e-02
1.150475223397951e-03	8.107685e-01	-8.806939e-02
1.224011921227453e-03	9.866982e-01	-9.828826e-02
1.255268247099872e-03	9.994522e-01	-9.640087e-02
1.273577779923540e-03	9.890468e-01	-9.353325e-02
1.303338008146193e-03	9.443667e-01	-8.623160e-02
1.351227446695802e-03	8.044598e-01	-6.834633e-02
1.425628153856717e-03	4.504703e-01	-2.961621e-02
1.490323076996702e-03	6.076444e-02	9.551462e-03
1.558695320928560e-03	-3.604904e-01	4.891811e-02
1.620898980532193e-03	-6.886537e-01	7.712939e-02
1.703168418915935e-03	-9.570195e-01	9.582657e-02
1.747170779358820e-03	-9.998420e-01	9.562959e-02
1.763948337492272e-03	-9.961621e-01	9.356295e-02
1.787701121679142e-03	-9.720742e-01	8.881982e-02
1.826168516299242e-03	-8.876494e-01	7.692298e-02
1.887220514168897e-03	-6.507823e-01	4.923720e-02
1.953733175609873e-03	-2.866258e-01	1.103748e-02
2.016077387297255e-03	1.008455e-01	-2.680741e-02
2.079762217686243e-03	4.804439e-01	-6.133842e-02
2.147726967720587e-03	8.005401e-01	-8.748817e-02
2.222654887788389e-03	9.852762e-01	-9.821969e-02
2.254751919965603e-03	9.995543e-01	-9.630179e-02
2.272737195752050e-03	9.898126e-01	-9.347994e-02
2.301974850910549e-03	9.471490e-01	-8.633706e-02
2.349054245785132e-03	8.124955e-01	-6.887797e-02
2.422350989935707e-03	4.687570e-01	-3.089675e-02
2.487147754249186e-03	8.066531e-02	8.390855e-03
2.555806486422840e-03	-3.435013e-01	4.829422e-02
2.618759526175518e-03	-6.788447e-01	7.733751e-02
2.699793873948142e-03	-9.506555e-01	9.665206e-02
2.745818721444193e-03	-9.996549e-01	9.690284e-02
2.763445594038627e-03	-9.964336e-01	9.480747e-02
2.786883664388062e-03	-9.732667e-01	9.019624e-02
2.824851471472822e-03	-8.914298e-01	7.860487e-02
2.885167350086038e-03	-6.605228e-01	5.151229e-02
2.951800785481629e-03	-2.982365e-01	1.340719e-02
3.014110578444251e-03	8.854327e-02	-2.447328e-02
3.077945921904579e-03	4.704041e-01	-5.932758e-02
3.145117573039036e-03	7.906076e-01	-8.567695e-02
3.221349890312419e-03	9.838412e-01	-9.721540e-02
