time	V(cuadrada)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.000000e+00	4.991321e-06
1.447256616498920e-09	1.000000e+00	4.781549e-06
1.894513261279772e-09	1.000000e+00	4.475955e-06
2.341769906060624e-09	1.000000e+00	4.074537e-06
2.789026550841476e-09	1.000000e+00	3.577296e-06
3.236283195622327e-09	1.000000e+00	2.984232e-06
3.683539840403179e-09	1.000000e+00	2.295345e-06
4.130796485184030e-09	1.000000e+00	1.510634e-06
7.286244939700905e-09	1.000000e+00	-5.316997e-06
1.175649400977984e-08	1.000000e+00	-1.449359e-05
1.620149506162158e-08	1.000000e+00	-1.367295e-05
2.056429041174202e-08	1.000000e+00	8.571298e-06
2.455977910131183e-08	1.000000e+00	5.778895e-05
2.881402997391037e-08	1.000000e+00	1.511299e-04
3.288521013039408e-08	1.000000e+00	2.887738e-04
3.737191677635429e-08	1.000000e+00	5.045083e-04
4.274419849681143e-08	1.000000e+00	8.619875e-04
4.951364767001914e-08	1.000000e+00	1.479357e-03
5.790475966402016e-08	1.000000e+00	2.511838e-03
6.850876127441742e-08	1.000000e+00	4.221545e-03
8.053628792386149e-08	1.000000e+00	6.624554e-03
9.474235693518259e-08	1.000000e+00	9.885959e-03
1.138392177708756e-07	1.000000e+00	1.446118e-02
1.408331881004256e-07	1.000000e+00	2.008555e-02
1.727360793836655e-07	1.000000e+00	2.404014e-02
2.087433371718704e-07	1.000000e+00	2.443378e-02
2.489452358725574e-07	1.000000e+00	2.100929e-02
2.759548317893634e-07	1.000000e+00	1.747898e-02
3.005240741835313e-07	1.000000e+00	1.414389e-02
3.296930360694239e-07	1.000000e+00	1.053336e-02
3.562321140914471e-07	1.000000e+00	7.792423e-03
3.833678645296184e-07	1.000000e+00	5.588649e-03
4.084579681819793e-07	1.000000e+00	4.048029e-03
4.348553095555307e-07	1.000000e+00	2.854076e-03
4.666701268126149e-07	1.000000e+00	1.856956e-03
5.046370859767935e-07	1.000000e+00	1.106172e-03
5.410046866084230e-07	1.000000e+00	6.774386e-04
5.752527237148927e-07	1.000000e+00	4.313107e-04
6.121372808629135e-07	1.000000e+00	2.689658e-04
6.462370150897489e-07	1.000000e+00	1.779698e-04
6.872697266544452e-07	1.000000e+00	1.127569e-04
7.332210414807546e-07	1.000000e+00	7.336112e-05
7.917668272631474e-07	1.000000e+00	4.942450e-05
8.606142597372987e-07	1.000000e+00	3.840197e-05
9.533317533712263e-07	1.000000e+00	3.386288e-05
3.861199186486585e-06	1.000000e+00	5.582384e-05
6.769066619601944e-06	1.000000e+00	1.084124e-04
9.676934052717305e-06	1.000000e+00	1.916286e-04
1.258480148583266e-05	1.000000e+00	3.054723e-04
1.549266891894802e-05	1.000000e+00	4.499437e-04
1.840053635206338e-05	1.000000e+00	6.250427e-04
2.130840378517873e-05	1.000000e+00	8.307692e-04
4.166839797340316e-05	1.000000e+00	3.100410e-03
8.238838634985201e-05	1.000000e+00	1.190600e-02
1.154007949953615e-04	1.000000e+00	2.308042e-02
1.289175370555910e-04	1.000000e+00	2.866051e-02
1.388780040709815e-04	1.000000e+00	3.313441e-02
1.550536776421272e-04	1.000000e+00	4.103909e-02
1.809912593394564e-04	1.000000e+00	5.531689e-02
2.208398699502722e-04	1.000000e+00	8.091050e-02
2.750203629626140e-04	1.000000e+00	1.222764e-01
3.300692335252612e-04	1.000000e+00	1.712723e-01
3.643238342777449e-04	1.000000e+00	2.049234e-01
3.785117620688474e-04	1.000000e+00	2.195036e-01
3.882175511395883e-04	1.000000e+00	2.296796e-01
4.039842503386323e-04	1.000000e+00	2.465420e-01
4.292955979891620e-04	1.000000e+00	2.744178e-01
4.683245327612947e-04	1.000000e+00	3.191436e-01
5.219155472672024e-04	1.000000e+00	3.834237e-01
5.775313874637105e-04	1.000000e+00	4.527987e-01
6.131192430457515e-04	1.000000e+00	4.981962e-01
6.280564417224085e-04	1.000000e+00	5.174083e-01
6.374763885613160e-04	1.000000e+00	5.295575e-01
6.527834586144586e-04	1.000000e+00	5.493387e-01
6.773878198524717e-04	1.000000e+00	5.811905e-01
7.154774481338886e-04	1.000000e+00	6.304643e-01
7.683457150269488e-04	1.000000e+00	6.982999e-01
8.245228830920907e-04	1.000000e+00	7.689521e-01
8.616541442619954e-04	1.000000e+00	8.144703e-01
8.775003393694270e-04	1.000000e+00	8.335406e-01
8.865710904502018e-04	1.000000e+00	8.443499e-01
9.013158285377063e-04	1.000000e+00	8.617434e-01
9.250508252126907e-04	1.000000e+00	8.892505e-01
9.619659173221619e-04	1.000000e+00	9.307150e-01
1.013862893889494e-03	1.000000e+00	9.859815e-01
1.070606115132834e-03	1.000000e+00	1.041884e+00
1.109682955825441e-03	1.000000e+00	1.077379e+00
1.126747622946025e-03	1.000000e+00	1.092063e+00
1.135345598564232e-03	1.000000e+00	1.099267e+00
1.149327634188896e-03	1.000000e+00	1.110699e+00
1.171876153942069e-03	1.000000e+00	1.128380e+00
1.207155268441505e-03	1.000000e+00	1.154132e+00
1.257581707315778e-03	1.000000e+00	1.186759e+00
1.314854947954274e-03	1.000000e+00	1.217668e+00
1.356648683743690e-03	1.000000e+00	1.236004e+00
1.375577227429267e-03	1.000000e+00	1.243122e+00
1.383439906939067e-03	1.000000e+00	1.245861e+00
1.396232920741145e-03	1.000000e+00	1.250042e+00
1.416916222062747e-03	1.000000e+00	1.256083e+00
1.449551891934257e-03	1.000000e+00	1.263810e+00
1.497336607554860e-03	1.000000e+00	1.271157e+00
1.554808605524478e-03	1.000000e+00	1.273834e+00
1.600910810663047e-03	1.000000e+00	1.271218e+00
1.623316390355628e-03	1.000000e+00	1.268449e+00
1.631874154578086e-03	1.000000e+00	1.267138e+00
1.643687943654639e-03	1.000000e+00	1.265101e+00
1.662822294479072e-03	1.000000e+00	1.261248e+00
1.693202064824967e-03	1.000000e+00	1.253755e+00
1.738497873026295e-03	1.000000e+00	1.239548e+00
1.795476486480296e-03	1.000000e+00	1.216780e+00
1.845031708274194e-03	1.000000e+00	1.192819e+00
1.870919410607284e-03	1.000000e+00	1.178859e+00
1.880982197072971e-03	1.000000e+00	1.173178e+00
1.892237383126537e-03	1.000000e+00	1.166663e+00
1.910483452950092e-03	1.000000e+00	1.155745e+00
1.939546875445165e-03	1.000000e+00	1.137486e+00
1.983299821936982e-03	1.000000e+00	1.108125e+00
2.039702819883712e-03	1.000000e+00	1.067292e+00
2.091107803010297e-03	1.000000e+00	1.027535e+00
2.119264917377042e-03	1.000000e+00	1.004869e+00
2.130365257500708e-03	1.000000e+00	9.957813e-01
2.141233794795813e-03	1.000000e+00	9.868063e-01
2.158863188877353e-03	1.000000e+00	9.720978e-01
2.187003703759974e-03	1.000000e+00	9.482710e-01
2.229637858055728e-03	1.000000e+00	9.114904e-01
2.285509927807682e-03	1.000000e+00	8.623844e-01
2.338113934077536e-03	1.000000e+00	8.156044e-01
2.367969084596012e-03	1.000000e+00	7.889683e-01
2.379880993709228e-03	1.000000e+00	7.783455e-01
2.390445889894175e-03	1.000000e+00	7.689328e-01
2.407590005571696e-03	1.000000e+00	7.536852e-01
2.434999288405287e-03	1.000000e+00	7.294068e-01
2.476726317772542e-03	1.000000e+00	6.927876e-01
2.532103112081716e-03	1.000000e+00	6.450961e-01
2.585589309815005e-03	1.000000e+00	6.003333e-01
2.616851862167451e-03	1.000000e+00	5.748864e-01
2.629462546959059e-03	1.000000e+00	5.647901e-01
2.639764978546813e-03	1.000000e+00	5.566186e-01
2.656488950904769e-03	1.000000e+00	5.435066e-01
2.683261744814545e-03	1.000000e+00	5.229294e-01
2.724184834652645e-03	1.000000e+00	4.925266e-01
2.779076894928612e-03	1.000000e+00	4.539039e-01
2.833276100379394e-03	1.000000e+00	4.183867e-01
2.865807236639553e-03	1.000000e+00	3.983926e-01
2.879070382224171e-03	1.000000e+00	3.905369e-01
2.889126763745609e-03	1.000000e+00	3.846971e-01
2.905456324148434e-03	1.000000e+00	3.754313e-01
2.931628830348768e-03	1.000000e+00	3.611477e-01
2.971781860616001e-03	1.000000e+00	3.406166e-01
3.026171140100389e-03	1.000000e+00	3.155263e-01
3.080991434639930e-03	1.000000e+00	2.934506e-01
3.114754745846240e-03	1.000000e+00	2.814714e-01
3.128674260143605e-03	1.000000e+00	2.768921e-01
3.138482045693631e-03	1.000000e+00	2.737912e-01
3.154412598634763e-03	1.000000e+00	2.689756e-01
3.179975170533372e-03	1.000000e+00	2.618180e-01
3.219334347835826e-03	1.000000e+00	2.521573e-01
3.273167582515999e-03	1.000000e+00	2.415691e-01
3.328563554556710e-03	1.000000e+00	2.337552e-01
3.363612532453302e-03	1.000000e+00	2.303763e-01
3.378243095212198e-03	1.000000e+00	2.293144e-01
3.387780228014965e-03	1.000000e+00	2.287304e-01
3.403275807121099e-03	1.000000e+00	2.279609e-01
3.428170527080102e-03	1.000000e+00	2.271808e-01
3.466647683868286e-03	1.000000e+00	2.270459e-01
3.519820104203680e-03	1.000000e+00	2.288910e-01
3.575777248369194e-03	1.000000e+00	2.332028e-01
3.612270024259987e-03	1.000000e+00	2.372269e-01
3.627734433659018e-03	1.000000e+00	2.392017e-01
3.636952190913795e-03	1.000000e+00	2.404515e-01
3.651933770575281e-03	1.000000e+00	2.425948e-01
3.676035501212637e-03	1.000000e+00	2.463224e-01
3.713448627199064e-03	1.000000e+00	2.527481e-01
3.765766378133265e-03	1.000000e+00	2.629054e-01
3.822288234799152e-03	1.000000e+00	2.751983e-01
3.860538613714543e-03	1.000000e+00	2.841714e-01
3.877075040765491e-03	1.000000e+00	2.881891e-01
3.885878679585211e-03	1.000000e+00	2.903581e-01
3.900192685382514e-03	1.000000e+00	2.939257e-01
3.923258632011589e-03	1.000000e+00	2.997708e-01
3.959255756184789e-03	1.000000e+00	3.090904e-01
4.010343898557292e-03	1.000000e+00	3.226101e-01
4.067422088759420e-03	1.000000e+00	3.379166e-01
4.108024386416392e-03	1.000000e+00	3.488081e-01
4.126109767285420e-03	1.000000e+00	3.536334e-01
4.134307032033998e-03	1.000000e+00	3.558117e-01
4.147641490251147e-03	1.000000e+00	3.593407e-01
4.169176394476187e-03	1.000000e+00	3.649949e-01
4.203029378736805e-03	1.000000e+00	3.737443e-01
4.252069450347192e-03	1.000000e+00	3.860337e-01
4.309552544175216e-03	1.000000e+00	3.997055e-01
4.353692855189294e-03	1.000000e+00	4.095595e-01
4.374421136855314e-03	1.000000e+00	4.139686e-01
4.382284844088309e-03	1.000000e+00	4.156021e-01
4.394355656235497e-03	1.000000e+00	4.180661e-01
4.413897613341125e-03	1.000000e+00	4.219398e-01
4.444876031424069e-03	1.000000e+00	4.277760e-01
4.490851996762671e-03	1.000000e+00	4.357084e-01
4.548021981496183e-03	1.000000e+00	4.442766e-01
4.596690775038976e-03	1.000000e+00	4.503739e-01
4.621605178904338e-03	1.000000e+00	4.530520e-01
4.631237560973919e-03	1.000000e+00	4.540052e-01
4.642652724134930e-03	1.000000e+00	4.550745e-01
4.661153514451085e-03	1.000000e+00	4.566681e-01
4.690596015071530e-03	1.000000e+00	4.588448e-01
4.734799775946600e-03	1.000000e+00	4.612748e-01
4.791390409634251e-03	1.000000e+00	4.629051e-01
4.842278207429948e-03	1.000000e+00	4.629487e-01
4.869763419633195e-03	1.000000e+00	4.624142e-01
4.880551286022762e-03	1.000000e+00	4.620982e-01
4.891536433613122e-03	1.000000e+00	4.617152e-01
4.909351964562195e-03	1.000000e+00	4.609637e-01
4.937771806468050e-03	1.000000e+00	4.594339e-01
4.980747699488786e-03	1.000000e+00	4.563613e-01
5.036791551000546e-03	1.000000e+00	4.510214e-01
5.136791551000546e-03	1.000000e+00	4.379881e-01
5.236791551000547e-03	1.000000e+00	4.208698e-01
5.336791551000547e-03	1.000000e+00	4.002693e-01
5.436791551000547e-03	1.000000e+00	3.768685e-01
5.536791551000547e-03	1.000000e+00	3.513985e-01
5.636791551000548e-03	1.000000e+00	3.246109e-01
5.736791551000548e-03	1.000000e+00	2.972496e-01
5.836791551000548e-03	1.000000e+00	2.700260e-01
5.936791551000548e-03	1.000000e+00	2.435962e-01
6.036791551000549e-03	1.000000e+00	2.185431e-01
6.136791551000549e-03	1.000000e+00	1.953615e-01
6.236791551000549e-03	1.000000e+00	1.744478e-01
6.336791551000549e-03	1.000000e+00	1.560937e-01
6.436791551000550e-03	1.000000e+00	1.404840e-01
6.536791551000550e-03	1.000000e+00	1.276986e-01
6.636791551000550e-03	1.000000e+00	1.177178e-01
6.736791551000551e-03	1.000000e+00	1.104304e-01
6.836791551000551e-03	1.000000e+00	1.056448e-01
6.936791551000551e-03	1.000000e+00	1.031013e-01
7.036791551000551e-03	1.000000e+00	1.024871e-01
7.136791551000552e-03	1.000000e+00	1.034502e-01
7.236791551000552e-03	1.000000e+00	1.056155e-01
7.336791551000552e-03	1.000000e+00	1.085988e-01
7.436791551000552e-03	1.000000e+00	1.120212e-01
7.536791551000553e-03	1.000000e+00	1.155215e-01
7.636791551000553e-03	1.000000e+00	1.187674e-01
7.736791551000553e-03	1.000000e+00	1.214647e-01
7.836791551000553e-03	1.000000e+00	1.233647e-01
7.936791551000553e-03	1.000000e+00	1.242687e-01
8.036791551000552e-03	1.000000e+00	1.240317e-01
8.136791551000552e-03	1.000000e+00	1.225627e-01
8.236791551000551e-03	1.000000e+00	1.198238e-01
8.336791551000550e-03	1.000000e+00	1.158274e-01
8.436791551000550e-03	1.000000e+00	1.106318e-01
8.536791551000549e-03	1.000000e+00	1.043356e-01
8.636791551000549e-03	1.000000e+00	9.707109e-02
8.736791551000548e-03	1.000000e+00	8.899712e-02
8.836791551000547e-03	1.000000e+00	8.029142e-02
8.936791551000547e-03	1.000000e+00	7.114293e-02
9.036791551000546e-03	1.000000e+00	6.174444e-02
9.136791551000546e-03	1.000000e+00	5.228544e-02
9.236791551000545e-03	1.000000e+00	4.294588e-02
9.336791551000544e-03	1.000000e+00	3.389057e-02
9.436791551000544e-03	1.000000e+00	2.526462e-02
9.536791551000543e-03	1.000000e+00	1.718986e-02
9.636791551000543e-03	1.000000e+00	9.762445e-03
9.736791551000542e-03	1.000000e+00	3.051371e-03
9.836791551000541e-03	1.000000e+00	-2.901780e-03
9.936791551000541e-03	1.000000e+00	-8.082254e-03
1.003679155100054e-02	1.000000e+00	-1.250057e-02
1.013679155100054e-02	1.000000e+00	-1.619029e-02
1.023679155100054e-02	1.000000e+00	-1.920505e-02
1.033679155100054e-02	1.000000e+00	-2.161528e-02
1.043679155100054e-02	1.000000e+00	-2.350439e-02
1.053679155100054e-02	1.000000e+00	-2.496505e-02
1.063679155100054e-02	1.000000e+00	-2.609518e-02
1.073679155100054e-02	1.000000e+00	-2.699427e-02
1.083679155100054e-02	1.000000e+00	-2.775982e-02
1.093679155100053e-02	1.000000e+00	-2.848414e-02
1.103679155100053e-02	1.000000e+00	-2.925160e-02
1.113679155100053e-02	1.000000e+00	-3.013636e-02
1.123679155100053e-02	1.000000e+00	-3.120062e-02
1.133679155100053e-02	1.000000e+00	-3.249340e-02
1.143679155100053e-02	1.000000e+00	-3.404993e-02
1.153679155100053e-02	1.000000e+00	-3.589149e-02
1.163679155100053e-02	1.000000e+00	-3.802580e-02
1.173679155100053e-02	1.000000e+00	-4.044783e-02
1.183679155100053e-02	1.000000e+00	-4.314097e-02
1.193679155100053e-02	1.000000e+00	-4.607858e-02
1.203679155100053e-02	1.000000e+00	-4.922564e-02
1.213679155100053e-02	1.000000e+00	-5.254070e-02
1.223679155100053e-02	1.000000e+00	-5.597783e-02
1.233679155100053e-02	1.000000e+00	-5.948857e-02
1.243679155100053e-02	1.000000e+00	-6.302382e-02
1.253679155100052e-02	1.000000e+00	-6.653568e-02
