time	V(escalon)	V(vout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.000000e+00	4.991321e-06
1.447256616498920e-09	1.000000e+00	4.781549e-06
1.894513261279772e-09	1.000000e+00	4.475955e-06
2.341769906060624e-09	1.000000e+00	4.074537e-06
2.789026550841476e-09	1.000000e+00	3.577296e-06
3.236283195622327e-09	1.000000e+00	2.984232e-06
3.683539840403179e-09	1.000000e+00	2.295345e-06
4.130796485184030e-09	1.000000e+00	1.510634e-06
7.286244939700905e-09	1.000000e+00	-5.316997e-06
1.175649400977984e-08	1.000000e+00	-1.449359e-05
1.620149506162158e-08	1.000000e+00	-1.367295e-05
2.056429041174202e-08	1.000000e+00	8.571298e-06
2.455977910131183e-08	1.000000e+00	5.778895e-05
2.881402997391037e-08	1.000000e+00	1.511299e-04
3.288521013039408e-08	1.000000e+00	2.887738e-04
3.737191677635429e-08	1.000000e+00	5.045083e-04
4.274419849681143e-08	1.000000e+00	8.619875e-04
4.951364767001914e-08	1.000000e+00	1.479357e-03
5.790475966402016e-08	1.000000e+00	2.511838e-03
6.850876127441742e-08	1.000000e+00	4.221545e-03
8.053628792386149e-08	1.000000e+00	6.624554e-03
9.474235693518259e-08	1.000000e+00	9.885959e-03
1.138392177708756e-07	1.000000e+00	1.446118e-02
1.408331881004256e-07	1.000000e+00	2.008555e-02
1.727360793836655e-07	1.000000e+00	2.404014e-02
2.087433371718704e-07	1.000000e+00	2.443378e-02
2.489452358725574e-07	1.000000e+00	2.100929e-02
2.759548317893634e-07	1.000000e+00	1.747898e-02
3.005240741835313e-07	1.000000e+00	1.414389e-02
3.296930360694239e-07	1.000000e+00	1.053336e-02
3.562321140914471e-07	1.000000e+00	7.792423e-03
3.833678645296184e-07	1.000000e+00	5.588649e-03
4.084579681819793e-07	1.000000e+00	4.048029e-03
4.348553095555307e-07	1.000000e+00	2.854076e-03
4.666701268126149e-07	1.000000e+00	1.856956e-03
5.046370859767935e-07	1.000000e+00	1.106172e-03
5.410046866084230e-07	1.000000e+00	6.774386e-04
5.752527237148927e-07	1.000000e+00	4.313107e-04
6.121372808629135e-07	1.000000e+00	2.689658e-04
6.462370150897489e-07	1.000000e+00	1.779698e-04
6.872697266544452e-07	1.000000e+00	1.127569e-04
7.332210414807546e-07	1.000000e+00	7.336112e-05
7.917668272631474e-07	1.000000e+00	4.942450e-05
8.606142597372987e-07	1.000000e+00	3.840197e-05
9.533317533712263e-07	1.000000e+00	3.386288e-05
3.861199186486585e-06	1.000000e+00	5.582384e-05
6.769066619601944e-06	1.000000e+00	1.084124e-04
9.676934052717305e-06	1.000000e+00	1.916286e-04
1.258480148583266e-05	1.000000e+00	3.054723e-04
1.549266891894802e-05	1.000000e+00	4.499437e-04
1.840053635206338e-05	1.000000e+00	6.250427e-04
2.130840378517873e-05	1.000000e+00	8.307692e-04
4.166839797340316e-05	1.000000e+00	3.100410e-03
8.238838634985201e-05	1.000000e+00	1.190600e-02
1.000000000010000e-04	1.000000e+00	1.743534e-02
1.101455320255352e-04	1.000000e+00	1.992387e-02
1.141188779620090e-04	1.000000e+00	2.320216e-02
1.162348764437154e-04	1.000000e+00	2.267083e-02
1.169707843291764e-04	1.000000e+00	2.326802e-02
1.172326187475134e-04	1.000000e+00	2.384538e-02
1.173146175967131e-04	1.000000e+00	2.378472e-02
1.173465200216303e-04	1.000000e+00	2.370394e-02
1.173677424473275e-04	1.000000e+00	2.364681e-02
1.173946940807112e-04	1.000000e+00	2.358708e-02
1.174381413729889e-04	1.000000e+00	2.353631e-02
1.174871286183950e-04	1.000000e+00	2.353637e-02
1.175384393331287e-04	1.000000e+00	2.356788e-02
1.176008743641192e-04	1.000000e+00	2.360908e-02
1.176937361627952e-04	1.000000e+00	2.365364e-02
1.180677142656125e-04	1.000000e+00	2.378787e-02
1.256272749769933e-04	1.000000e+00	2.645338e-02
1.331868356883740e-04	1.000000e+00	2.909194e-02
1.407463963997548e-04	1.000000e+00	3.170355e-02
1.483059571111355e-04	1.000000e+00	3.428821e-02
1.558655178225163e-04	1.000000e+00	3.684591e-02
1.634250785338971e-04	1.000000e+00	3.937667e-02
1.709846392452778e-04	1.000000e+00	4.188047e-02
2.057962727157192e-04	1.000000e+00	5.303491e-02
2.557786321314882e-04	1.000000e+00	6.793980e-02
3.131468613920529e-04	1.000000e+00	8.334750e-02
3.557136426130312e-04	1.000000e+00	9.355461e-02
3.752133350567308e-04	1.000000e+00	9.787213e-02
3.828473772655675e-04	1.000000e+00	9.949993e-02
3.952700423208465e-04	1.000000e+00	1.020737e-01
4.153688067866478e-04	1.000000e+00	1.060385e-01
4.471592959890530e-04	1.000000e+00	1.118041e-01
4.940354795034751e-04	1.000000e+00	1.191673e-01
5.513950987785463e-04	1.000000e+00	1.263281e-01
5.988245260042452e-04	1.000000e+00	1.307184e-01
6.224760883594005e-04	1.000000e+00	1.323947e-01
6.315616429555680e-04	1.000000e+00	1.329485e-01
6.431797745841156e-04	1.000000e+00	1.335848e-01
6.620033622908501e-04	1.000000e+00	1.344447e-01
6.919244113954781e-04	1.000000e+00	1.353826e-01
7.366898204638280e-04	1.000000e+00	1.358223e-01
7.934920463755513e-04	1.000000e+00	1.347757e-01
8.437085154873561e-04	1.000000e+00	1.324217e-01
8.703667658754293e-04	1.000000e+00	1.306523e-01
8.807762682573014e-04	1.000000e+00	1.298668e-01
8.919024184200205e-04	1.000000e+00	1.289706e-01
9.099428473903790e-04	1.000000e+00	1.273944e-01
9.386993141018708e-04	1.000000e+00	1.245780e-01
9.820834590505022e-04	1.000000e+00	1.196566e-01
1.038321536394624e-03	1.000000e+00	1.121665e-01
1.090135148928460e-03	1.000000e+00	1.042621e-01
1.118847248026147e-03	1.000000e+00	9.950844e-02
1.130209285520838e-03	1.000000e+00	9.755957e-02
1.140980038978208e-03	1.000000e+00	9.567912e-02
1.158453248465545e-03	1.000000e+00	9.256215e-02
1.186358888494306e-03	1.000000e+00	8.742622e-02
1.228703627535893e-03	1.000000e+00	7.929926e-02
1.284423801886421e-03	1.000000e+00	6.809399e-02
1.337318114622089e-03	1.000000e+00	5.703844e-02
1.367619406193701e-03	1.000000e+00	5.056898e-02
1.379750124430488e-03	1.000000e+00	4.795814e-02
1.390232943542738e-03	1.000000e+00	4.569484e-02
1.407245739183722e-03	1.000000e+00	4.200939e-02
1.434456415077891e-03	1.000000e+00	3.609418e-02
1.475933998560971e-03	1.000000e+00	2.706125e-02
1.531164891085624e-03	1.000000e+00	1.509082e-02
1.584879305478715e-03	1.000000e+00	3.617472e-03
1.616533415823526e-03	1.000000e+00	-3.022678e-03
1.629343096946153e-03	1.000000e+00	-5.677902e-03
1.639570590728061e-03	1.000000e+00	-7.782625e-03
1.656174494539021e-03	1.000000e+00	-1.116960e-02
1.682764827338175e-03	1.000000e+00	-1.650822e-02
1.723455052697276e-03	1.000000e+00	-2.445190e-02
1.778198967201440e-03	1.000000e+00	-3.464726e-02
1.832592427958143e-03	1.000000e+00	-4.414631e-02
1.865494494685266e-03	1.000000e+00	-4.955665e-02
1.878952787147301e-03	1.000000e+00	-5.169253e-02
1.888935375373458e-03	1.000000e+00	-5.324648e-02
1.905146547353407e-03	1.000000e+00	-5.571485e-02
1.931138356075761e-03	1.000000e+00	-5.952498e-02
1.971057385635212e-03	1.000000e+00	-6.501310e-02
2.025286671559952e-03	1.000000e+00	-7.173483e-02
2.080283528471989e-03	1.000000e+00	-7.765873e-02
2.114424284683490e-03	1.000000e+00	-8.087201e-02
2.128549659464826e-03	1.000000e+00	-8.209632e-02
2.138279236738279e-03	1.000000e+00	-8.290322e-02
2.154084158250047e-03	1.000000e+00	-8.415149e-02
2.179454147832348e-03	1.000000e+00	-8.599152e-02
2.218560337426488e-03	1.000000e+00	-8.843400e-02
2.272208579079669e-03	1.000000e+00	-9.100956e-02
2.327774025999576e-03	1.000000e+00	-9.274364e-02
2.363235625442064e-03	1.000000e+00	-9.336158e-02
2.378100504438341e-03	1.000000e+00	-9.350962e-02
2.387548115984141e-03	1.000000e+00	-9.356976e-02
2.402899697760895e-03	1.000000e+00	-9.361268e-02
2.427572669591301e-03	1.000000e+00	-9.353980e-02
2.465754087692998e-03	1.000000e+00	-9.309158e-02
2.518695143360194e-03	1.000000e+00	-9.181970e-02
2.574821674092489e-03	1.000000e+00	-8.968992e-02
2.611801509530763e-03	1.000000e+00	-8.787179e-02
2.627556397140843e-03	1.000000e+00	-8.700256e-02
2.636662352580827e-03	1.000000e+00	-8.647499e-02
2.651463822456768e-03	1.000000e+00	-8.557998e-02
2.675286740002800e-03	1.000000e+00	-8.404340e-02
2.712321567296591e-03	1.000000e+00	-8.143241e-02
2.764320883512539e-03	1.000000e+00	-7.734452e-02
2.821013412481223e-03	1.000000e+00	-7.238781e-02
2.859891419756481e-03	1.000000e+00	-6.872306e-02
2.876827491306095e-03	1.000000e+00	-6.706697e-02
2.885475637032489e-03	1.000000e+00	-6.620819e-02
2.899538680035311e-03	1.000000e+00	-6.479470e-02
2.922213602348032e-03	1.000000e+00	-6.247254e-02
2.957668757267931e-03	1.000000e+00	-5.874781e-02
3.008259737154559e-03	1.000000e+00	-5.326901e-02
3.065490644245122e-03	1.000000e+00	-4.690232e-02
3.106992623310216e-03	1.000000e+00	-4.221354e-02
3.125710678154711e-03	1.000000e+00	-4.008850e-02
3.133657204473081e-03	1.000000e+00	-3.918521e-02
3.146585963268623e-03	1.000000e+00	-3.771576e-02
3.167483107884641e-03	1.000000e+00	-3.534156e-02
3.200426042502169e-03	1.000000e+00	-3.161075e-02
3.248533656212730e-03	1.000000e+00	-2.621328e-02
3.306025167945275e-03	1.000000e+00	-1.989359e-02
3.351637059378760e-03	1.000000e+00	-1.501895e-02
3.373606457055795e-03	1.000000e+00	-1.272518e-02
3.381982001159989e-03	1.000000e+00	-1.186079e-02
3.393863295595588e-03	1.000000e+00	-1.064537e-02
3.413104770790362e-03	1.000000e+00	-8.703638e-03
3.443642209403947e-03	1.000000e+00	-5.695544e-03
3.489118487761292e-03	1.000000e+00	-1.396493e-03
3.546151762365179e-03	1.000000e+00	3.657805e-03
3.595475986754830e-03	1.000000e+00	7.700069e-03
3.621103817323250e-03	1.000000e+00	9.671855e-03
3.631050883153577e-03	1.000000e+00	1.041287e-02
3.642349102653842e-03	1.000000e+00	1.123721e-02
3.660663716941187e-03	1.000000e+00	1.253500e-02
3.689829272767131e-03	1.000000e+00	1.450012e-02
3.733704188201346e-03	1.000000e+00	1.721716e-02
3.790159483508452e-03	1.000000e+00	2.027883e-02
3.841426454727710e-03	1.000000e+00	2.262801e-02
3.869401075080561e-03	1.000000e+00	2.373454e-02
3.880416081644356e-03	1.000000e+00	2.413641e-02
3.891316479448381e-03	1.000000e+00	2.451483e-02
3.908996743073841e-03	1.000000e+00	2.508899e-02
3.937213659677072e-03	1.000000e+00	2.590256e-02
3.979941552476636e-03	1.000000e+00	2.689704e-02
4.035861564667952e-03	1.000000e+00	2.777172e-02
4.088369780158353e-03	1.000000e+00	2.816352e-02
4.118081024794185e-03	1.000000e+00	2.820542e-02
4.129922869809515e-03	1.000000e+00	2.818705e-02
4.140514027620231e-03	1.000000e+00	2.815356e-02
4.157700148021450e-03	1.000000e+00	2.806644e-02
4.185172893426605e-03	1.000000e+00	2.784307e-02
4.226979357302501e-03	1.000000e+00	2.731244e-02
4.282401748387123e-03	1.000000e+00	2.627109e-02
4.335813961942924e-03	1.000000e+00	2.492791e-02
4.366952226186193e-03	1.000000e+00	2.400119e-02
4.379500176638974e-03	1.000000e+00	2.359986e-02
4.389826214171204e-03	1.000000e+00	2.325768e-02
4.406587998893214e-03	1.000000e+00	2.268101e-02
4.433418202516698e-03	1.000000e+00	2.170402e-02
4.474414341909198e-03	1.000000e+00	2.009295e-02
4.529352168917271e-03	1.000000e+00	1.773215e-02
4.583489294055837e-03	1.000000e+00	1.521133e-02
4.615904381659232e-03	1.000000e+00	1.362286e-02
4.629106891765778e-03	1.000000e+00	1.296146e-02
4.639186182636803e-03	1.000000e+00	1.245109e-02
4.655552487834736e-03	1.000000e+00	1.161401e-02
4.681781030339321e-03	1.000000e+00	1.025171e-02
4.722006422034871e-03	1.000000e+00	8.122437e-03
4.776444505427697e-03	1.000000e+00	5.185382e-03
4.831209045715192e-03	1.000000e+00	2.197594e-03
4.864855910913526e-03	1.000000e+00	3.587941e-04
4.878712382226592e-03	1.000000e+00	-3.965665e-04
4.888544094794526e-03	1.000000e+00	-9.316898e-04
4.904513073584543e-03	1.000000e+00	-1.797910e-03
4.930134498057333e-03	1.000000e+00	-3.179742e-03
4.969570766233587e-03	1.000000e+00	-5.279509e-03
5.023459633185685e-03	1.000000e+00	-8.079020e-03
5.123459633185685e-03	1.000000e+00	-1.297255e-02
5.223459633185685e-03	1.000000e+00	-1.736616e-02
5.323459633185685e-03	1.000000e+00	-2.114024e-02
5.423459633185686e-03	1.000000e+00	-2.420709e-02
5.523459633185686e-03	1.000000e+00	-2.650920e-02
5.623459633185686e-03	1.000000e+00	-2.802121e-02
5.723459633185686e-03	1.000000e+00	-2.874600e-02
5.823459633185687e-03	1.000000e+00	-2.871473e-02
5.923459633185687e-03	1.000000e+00	-2.798126e-02
6.023459633185687e-03	1.000000e+00	-2.662083e-02
6.123459633185687e-03	1.000000e+00	-2.472352e-02
6.223459633185688e-03	1.000000e+00	-2.239227e-02
6.323459633185688e-03	1.000000e+00	-1.973602e-02
6.423459633185688e-03	1.000000e+00	-1.686778e-02
6.523459633185688e-03	1.000000e+00	-1.389812e-02
6.623459633185689e-03	1.000000e+00	-1.093376e-02
6.723459633185689e-03	1.000000e+00	-8.071947e-03
6.823459633185689e-03	1.000000e+00	-5.400086e-03
6.923459633185690e-03	1.000000e+00	-2.991160e-03
7.023459633185690e-03	1.000000e+00	-9.046258e-04
7.123459633185690e-03	1.000000e+00	8.169003e-04
7.223459633185690e-03	1.000000e+00	2.145528e-03
7.323459633185691e-03	1.000000e+00	3.070215e-03
7.423459633185691e-03	1.000000e+00	3.593559e-03
7.523459633185691e-03	1.000000e+00	3.732947e-03
7.623459633185691e-03	1.000000e+00	3.516520e-03
7.723459633185692e-03	1.000000e+00	2.983663e-03
7.823459633185691e-03	1.000000e+00	2.180482e-03
7.923459633185690e-03	1.000000e+00	1.159977e-03
8.023459633185690e-03	1.000000e+00	-2.260935e-05
8.123459633185689e-03	1.000000e+00	-1.309596e-03
8.223459633185689e-03	1.000000e+00	-2.645330e-03
8.323459633185688e-03	1.000000e+00	-3.975675e-03
8.423459633185687e-03	1.000000e+00	-5.252049e-03
8.523459633185687e-03	1.000000e+00	-6.430403e-03
8.623459633185686e-03	1.000000e+00	-7.474666e-03
8.723459633185686e-03	1.000000e+00	-8.355111e-03
8.823459633185685e-03	1.000000e+00	-9.051161e-03
8.923459633185684e-03	1.000000e+00	-9.549128e-03
9.023459633185684e-03	1.000000e+00	-9.844423e-03
9.123459633185683e-03	1.000000e+00	-9.938744e-03
9.223459633185683e-03	1.000000e+00	-9.841800e-03
9.323459633185682e-03	1.000000e+00	-9.568085e-03
9.423459633185681e-03	1.000000e+00	-9.138279e-03
9.523459633185681e-03	1.000000e+00	-8.575783e-03
9.623459633185680e-03	1.000000e+00	-7.907963e-03
9.723459633185680e-03	1.000000e+00	-7.162636e-03
9.823459633185679e-03	1.000000e+00	-6.369328e-03
9.923459633185678e-03	1.000000e+00	-5.555862e-03
1.002345963318568e-02	1.000000e+00	-4.749782e-03
1.012345963318568e-02	1.000000e+00	-3.975164e-03
1.022345963318568e-02	1.000000e+00	-3.254303e-03
1.032345963318568e-02	1.000000e+00	-2.604828e-03
